Relatorio Trafego 2026
"January 1, 2026 - January 31, 2026"
Campaign,Ad state,Ad type,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Currency code,Cost,Impr.,CTR,Clicks,Conversions,Cost / conv.,Avg. CPC,Avg. CPM,Avg. cost
[Instruçoes para curtir o Aquabeat],Enabled,Responsive video ad,https://www.youtube.com/watch?v=D1Qxgtdiiqs&t=6s, --, --, --,Dicas para curtir o Aquabeat Com sua Família O maior parque aquático de Minas Gerais, --, --, --, --,Dicas para curtir o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Dicas para curtir o Aquabeat Com sua Família, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Subscribe, --, --, --, --, --,202429739385, --, --, --, --, --, --, --, --, --,Dicas para curtir o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Quanto Custa o dia no Aquabeat?],Enabled,Responsive video ad,https://youtu.be/WF8K5CmkgxM, --, --, --,Quanto foi passar o dia No maior Parque aquático de Minas Gerais, --, --, --, --,Quanto custa o dia no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aquabeat Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inscrição, --, --, --, --, --,203679196873, --, --, --, --, --, --, --, --, --,Quanto custa o dia no Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Você teria Coragem],Enabled,Responsive video ad,https://www.youtube.com/shorts/3WZ1G7sHMKM, --, --, --,Ai Você teria coragem, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha curtir A cápsula radical do Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,224823841057, --, --, --, --, --, --, --, --, --,Venha curtir A cápsula radical do Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Video ADS @G3,Disabled,In-feed video ad,https://www.youtube.com/watch?v=QDPV2gAFY9U, --,Aquabeat Sócio Esmeralda - Fique 50 anos sem pagar mensalidade., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,O maior parque aquático de MG, --,As obras não param no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,22843374378, --, --, --, --, --, --, --, --, --,Aquabeat - https://aquabeat.com.br/esmeralda, --, --, --,,{lpurl}, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Venha curtir o Verão e ser socio],Enabled,Responsive video ad,https://www.youtube.com/shorts/Pfzgx947JJ4, --, --, --,Verão e no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha Curtir o verão se ser Sócio do Aquabeat o maior parque de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,202722981676, --, --, --, --, --, --, --, --, --,Verão e no Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Apresentação Aquabeat Seguimento Minas]#2,Disabled,Responsive video ad,https://www.youtube.com/watch?v=LwalZyNcCuY&t=12s, --, --, --,Venha conhecer o Aquabeat o Maior parque de Minas Gerais, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Piscina de ondas Toboaguas Rio Lento e muito mais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202454620795, --, --, --, --, --, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Venha conhecer o Aquabeat] Video de apresentação],Disabled,Responsive video ad,https://www.youtube.com/watch?v=WF8K5CmkgxM&t=1s, --, --, --,"Quanto gastei no meu dia no Aquabeat, e como foi", --, --, --, --,Quanto Gastei no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Passando o dia no maior parque de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inscrição, --, --, --, --, --,203679196873, --, --, --, --, --, --, --, --, --,Dia no Aquabet, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Manteiga Video],Enabled,Responsive video ad,https://www.youtube.com/shorts/RCShGD_CG4Q, --, --, --,Venha para o Verão Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha curtir o Verão 2025, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202431427224, --, --, --, --, --, --, --, --, --,Venha para o Verão Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Video ADS @G3,Disabled,In-feed video ad,https://www.youtube.com/watch?v=eg9Oz4b9mYw, --,Aquabeat Sócio Esmeralda - Fique 50 anos sem pagar mensalidade., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,O maior parque aquático de MG, --,Acessa aquabeat.com.br/esmeralda, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,22295531385, --, --, --, --, --, --, --, --, --,Aquabeat - https://aquabeat.com.br/esmeralda, --, --, --,,{lpurl}, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
AQUABEAT @G3 #2,Paused,Responsive search ad,https://aquabeat.com.br/contato-fb, --, --, --, --, --, --, --, --,Aquabeat São José da Lapa, --,Parque Aquático Aquabeat, --,Parque Aquático BH MG, --,Seja Sócio Clube Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio Remido Aquabeat, --,Cota Clube Parque Aquático BH, --,Sócio Remido Esmeralda, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,50 anos sem pagar mensalidade, --,Sócio Esmeralda Aquabeat, --,Apenas 28km do centro de BH, --, --, --, --, --, --,Seja Sócio Remido Esmeralda do maior parque aquático de Minas Gerais, --,Aquabeat BH - Seja sócio Remido Esmeralda do maior parque aquático, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Sócio Remido Esmeralda não paga mensalidade por 50 anos, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
